,place_name,place_id,lat,lng,type
0,Syndicate Bank,ChIJWxXT5IzIDzkRZHNThY1NdOg,30.3818983,76.7716875,bank
1,Allahabad Bank,ChIJWfmK2IrIDzkR6yIWTQhmCJk,30.3821727,76.7775679,bank
2,Oriental Bank of Commerce,ChIJFceFNF7IDzkR7oHRCH5JdP8,30.380144,76.7822027,bank
3,State Bank of India,ChIJl68QiU3IDzkRdZEwHWdtYNc,30.3628858,76.791491,bank
4,Oriental Bank of Commerce,ChIJfRMaqVDIDzkRKadnTWyvtaw,30.3697442,76.78608659999999,bank
5,Punjab National Bank,ChIJHT-1jZHIDzkR0z9kPbF5VEE,30.3800762,76.76259979999999,bank
6,Manager Rms Co-op Bank Limited,ChIJi7k7zSW2DzkRF_pF_2O8z4U,30.3781788,76.7766973,bank
7,IDBI Bank,ChIJ9wtHdVHIDzkR7kl1Dz8AuP4,30.3659165,76.7883879,bank
8,Punjab NATIONAL BANK,ChIJucZIdlLIDzkRAEOASybNyUI,30.3630665,76.7912102,bank
9,Axis Bank ATM,ChIJvc2yqIvIDzkRcTJUL2mrwKU,30.3836457,76.7753844,bank
10,Punjab National Bank,ChIJH-PdEYvIDzkRifU0dKuaBoQ,30.3836976,76.7768463,bank
11,Axis Bank ATM,ChIJ10pen03IDzkRg4PP3isaScs,30.3667015,76.7611312,bank
12,U T I Bank Limited,ChIJi7k7zSW2DzkRucM3NmtLkkQ,30.3781788,76.7766974,bank
13,Punjab National Bank,ChIJ9Zs2bO7IDzkRIyRi4FXIITw,30.3727317,76.7665493,bank
14,Axis Bank ATM,ChIJL9uSGIyODzkRTsBwMWYPw34,30.38583200000001,76.7891915,bank
15,Axis Bank,ChIJC2My-_TIDzkRoPHULyxN9W4,30.378179,76.77631099999999,bank
16,HDFC Bank ATM,ChIJRyRm8fTIDzkRGBqSBT5DzP8,30.3759,76.77323,bank
17,HDFC Bank,ChIJ52NCkvPIDzkRspVXMKZpAiY,30.3759,76.77323,bank
18,ICICI Bank Ambala - Branch & ATM,ChIJmfjk7PPIDzkRcWh07kPkWXQ,30.375606,76.7731569,bank
19,Sarva Haryana Gramin Bank,ChIJQexFIvXIDzkRSm7KnZSu890,30.3791268,76.7774103,bank
20,Pardeep Batra Advocate,ChIJ8VhVaFDIDzkRzJ2oi8lrEyw,30.3689594,76.7899135,local_government_office
21,Pooja Consultation office,ChIJlduaAW_IDzkRoUx2GK4mMWg,30.3903056,76.79409559999999,local_government_office
22,Passport Seva Kendra,ChIJQdMpwHvIDzkRUrVKRbeQZjo,30.3967744,76.7887842,local_government_office
23,Lawyers In Ambala - Shaurya Bhatia Advocate - Advocates In Ambala,ChIJ42WLy1DIDzkRFqVEWeOkQKA,30.3778088,76.7768257,local_government_office
24,Pooja's Office,ChIJCaLP_PTIDzkRKs3atHRmmnU,30.3781788,76.7766974,local_government_office
25,Sumit kaushal,ChIJ5eU0u2DJDzkRJhEPguRbzGA,30.3781788,76.7766974,local_government_office
26,Deputy Superintendent Of Police Headquarters Office,ChIJ5Z2PuqjJDzkRiKruPxXJlwA,30.37770279999999,76.7834778,local_government_office
27,Fab Travels & Trade Fair FTTF,ChIJdTN3F7XJDzkRdGnvfwvoPIw,30.37049099999999,76.7720641,local_government_office
28,DCPO Office,ChIJ5dpBWu7IDzkR4NO0VttHwDo,30.371537,76.7658579,local_government_office
29,Congress Party Office Ambala,ChIJWZ7brPrIDzkRryn13KEWNIo,30.3676655,76.7683404,local_government_office
30,Indo West Scholars,ChIJPSG82K3JDzkRIDMPjfQ7b-c,30.3683118,76.7874423,local_government_office
31,Government Welfare Office,ChIJ1dPh0_rIDzkRq8jw_kMT5LQ,30.365846,76.76859309999999,local_government_office
32,Sc And Bc Welfare Department Ambala,ChIJVVVV0frIDzkRUqWLqsTmUqA,30.365718,76.7686382,local_government_office
33,Deputy Commissioner,ChIJdTQf-OvIDzkR1RGpe9R3D-Q,30.37167969999999,76.76356,local_government_office
34,Advocate Chambers,ChIJNdoTarzJDzkRGlnmu7LiGKQ,30.3718205,76.7631466,local_government_office
35,CSC OFFICE,ChIJMw14q-7IDzkR7OWieYUh-sI,30.3728923,76.7626562,local_government_office
36,Sharma Tpt,ChIJafyU3WPIDzkRVZ7RxeR7u7g,30.3872056,76.7840665,local_government_office
37,Animal Husbandry and Dairying Department Office Ambala,ChIJtTeMBE7JDzkRjAENPpC325Y,30.3723034,76.7598344,local_government_office
38,Angel Property,ChIJ2WeMuUPIDzkRel3BubKhbk8,30.378611,76.7953496,local_government_office
39,Sulabh Shauchalaya,ChIJDUfme4jIDzkRorMvuJzA39U,30.3913348,76.7773682,local_government_office
40,Haryana Public Work Department Office,ChIJ3SCnOUzIDzkRBvW41cMkTvs,30.364072,76.795131,local_government_office
41,Office Of The Sub Divisional Engineer Public Health Engineering Subdivision Number 3 5 And 6 Ambala City,ChIJb2s4OUzIDzkRejYQD8LAypg,30.3641085,76.7952708,local_government_office
42,Public Works Department Water Supply,ChIJi655IsLIDzkRf5Idq80BXCQ,30.3719877,76.75528109999999,local_government_office
43,Regional Passport Office,ChIJveUDfWXIDzkRqYGT4BknHl0,30.3908691,76.7911943,local_government_office
44,HOGPL,ChIJf4PSuoLJDzkRZl9Je1q4vTE,30.3608262,76.7946281,local_government_office
45,AMBALA SMALL SCALE INDUSTRIES WELFARE ASSOCIATION,ChIJTcrYCGvJDzkR_fLh-CRCNEE,30.35989369999999,76.79565749999999,local_government_office
46,Vishwas International Group Of Companies,ChIJFSxxg__JDzkRSHWiCpQhWdE,30.3959988,76.79005289999999,local_government_office
47,Advocate Bhupinder Singh Sudan,ChIJL5z_xlTJDzkRSSR5OhTHvZU,30.3511944,76.78635779999999,local_government_office
48,Advocate Bhupinder Singh Sudan,ChIJyVUm2ITJDzkRi4GHpCeSc7k,30.34982449999999,76.782702,local_government_office
49,CSC CENTRE DHANKAUR,ChIJ3cbBw2TJDzkRrMBpoLgaHaM,30.3805044,76.81100959999999,local_government_office
50,Police Station,ChIJ4SM7EfbIDzkRd9Y8oIVWrm0,30.373898,76.7788661,police
51,Ambala PCR,ChIJJwaW417IDzkRzoQxsLQ_9C0,30.3772094,76.78304,police
52,Police Station Chowki 2,ChIJd0KjOIvIDzkRHrIa63k7fao,30.38121109999999,76.7755294,police
53,Women Police Station Ambala,ChIJndU09l7IDzkRb356lpx89RY,30.3781407,76.7836042,police
54,Deputy Commissioner of Police Office,ChIJiftt817IDzkRt1DT5jYjxa0,30.3778467,76.7840169,police
55,SVB Ambala Range,ChIJvaIfulnIDzkReMfhE9eDN6s,30.3714312,76.7834795,police
56,Police Station,ChIJYaSjkozIDzkRO0Ne8apAocg,30.3820189,76.77268,police
57,Lamba General Store,ChIJ-fuGf17IDzkRyJdtDXJSvcY,30.3786513,76.7855873,police
58,Office Of The DSP CID (H) Ambala,ChIJa8r4y13IDzkRFFsaur5pd8U,30.378863,76.7866743,police
59,Office Of Deputy Superintendent of Police,ChIJGdnmxV3IDzkRPY_ooPMd3uI,30.37931300000001,76.786642,police
60,Police Station Sector 8,ChIJM1VLefnIDzkRUCBF5yGsHAo,30.3656689,76.77440820000001,police
61,Assistant Commissioner Of Police Office,ChIJVVVVFVvIDzkRImNnoJv5doI,30.3746349,76.78991789999999,police
62,Ambala Sadar Police Station,ChIJW5qime7IDzkRUVHdOjiAD08,30.3728433,76.7642187,police
63,Police Post # 2,ChIJVT2sHJPIDzkRUFC-wWIVBTc,30.3811772,76.765221,police
