,place_name,place_id,lat,lng,type
0,Railway Station Parking,ChIJM3eIM6DGdjkRdr_Rhn7RGeg,26.2153756,78.1804011,parking
1,Railway Station Car Parking,ChIJ1XBa_KDGdjkRnEs2wXTXLyY,26.2155528,78.1825384,parking
2,Railway Station Two Wheeler Parking,ChIJFV2EHaHGdjkRlYt02kzmgTI,26.2159116,78.18302810000002,parking
3,Sarafa Bazar Paid Parking,ChIJtYl8udHFdjkRvOTZA2Lrr4I,26.2015267,78.15088709999999,parking
4,Gorkhi Car Parking,ChIJUW0MLNDFdjkR0pXaUc7PwwI,26.198653,78.1476246,parking
5,Pinto Park Parking Lot,ChIJc6Qy2iTBdjkR951ytndSyKI,26.2514285,78.21668389999999,parking
6,State Bank of India,ChIJq4u2E83FdjkRYNrwe_auzJ4,26.1970987,78.1543052,bank
7,IDBI Bank,ChIJd_Oj2THEdjkRJGLzHAhJ2WI,26.1994999,78.16413039999999,bank
8,Punjab National Bank,ChIJ3eSEFzPEdjkRNikeF4SbhFE,26.195928,78.156869,bank
9,Bank of India,ChIJgUEpgZ3GdjkR-RI3C-eHEEM,26.2120595,78.1712524,bank
10,Canara Bank,ChIJJ5Wy_TLEdjkROlmVOEQoaj4,26.1960557,78.15858999999999,bank
11,Syndicate Bank,ChIJ1anAkS7EdjkRCyj5coKQofs,26.2033762,78.1631378,bank
12,Oriental Bank Of Commerce,ChIJvXx0Is3FdjkRLmi9hZSz2Kc,26.1965054,78.1550321,bank
13,Canara Bank gole ka mandir,ChIJL_ZB2kjBdjkRpVTy8N8nrxs,26.2335259,78.21092,bank
14,State Bank of India,ChIJdwLrGr3GdjkRSHy4A22kXLs,26.2265532,78.18144880000001,bank
15,Bank of Maharashtra,ChIJkW-fF9fFdjkR-GnySUlG2NQ,26.2057763,78.14709309999999,bank
16,Bank of Maharashtra,ChIJU2YW3SzEdjkRvyeMI1Fs0Ho,26.2027188,78.1577753,bank
17,State Bank of India - Alapur Branch,ChIJ_y6QiFXBdjkR-TwqyoUVy7k,26.212422,78.1993207,bank
18,State Bank of India,ChIJWcl-li7EdjkRTHo9DQMvQa4,26.2038775,78.163197,bank
19,ICICI Bank ATM,ChIJ82eDBNHFdjkR6Z4ai3wQG2g,26.205928,78.14935299999999,bank
20,State Bank of India,ChIJ1Vp6S9PFdjkRhbyjb3l8d0c,26.2054466,78.15690719999999,bank
21,State Bank of India,ChIJxePzF8zFdjkRkpU8SNMwYds,26.1942678,78.15148119999999,bank
22,State Bank of India,ChIJ50AfHJ_GdjkR2dNwmQ0xANA,26.2164066,78.1766643,bank
23,Axis Bank ATM,ChIJoaRlYFXBdjkR1o1qeXUrNa8,26.2334236,78.1734803,bank
24,State Bank of India,ChIJPbNlRenFdjkRhqYPMItT1Ug,26.191826,78.128671,bank
25,Nagrik Sahakari Bank Maryadit,ChIJVynl0czFdjkR0wYJD3V0LdU,26.1954784,78.1560409,bank
26,[SCIENTIST] architects.,ChIJReLnnSHEdjkRni2gnE5Gveg,26.204614,78.175377,local_government_office
27,Kendriya Bhandar,ChIJkWUHm6rGdjkRITD2pkeFswg,26.2148846,78.2000774,local_government_office
28,The Packers Movers Ghaziyabad,ChIJIxTKRE0dYzkRhFL_eL3WQa8,26.212771,78.179023,local_government_office
29,Divisional Commissioner Office,ChIJeX0I6ybEdjkRGRgHMgovyLc,26.2081928,78.1724413,local_government_office
30,Moti Mahal,ChIJV3CLtybEdjkRKIyD83fxt1g,26.2076485,78.17285030000001,local_government_office
31,Globalduniya Gwalior | Tour Operator,ChIJU5MaMi_ahVQR3cXjRc0cS0A,26.2092146,78.1875767,local_government_office
32,e-Filing,ChIJq6qqagXEdjkRTEH_xKtiJZo,26.2035227,78.1920664,local_government_office
33,MP Online,ChIJjYrBnFXBdjkRBnT3k-kVQHo,26.2155999,78.205133,local_government_office
34,Gwalior Collectorate Office,ChIJx0LJZKHGdjkRDdYOqTmYuUk,26.1920298,78.20075299999999,local_government_office
35,RTO Office,ChIJMYfuUjXEdjkRBJ5BAC2Bmco,26.1880491,78.1568451,local_government_office
36,Mahendra,ChIJs-_TbcnFdjkRJvZDHiSVxns,26.1907105,78.14964789999999,local_government_office
37,Clear Secured Services Private Limited,ChIJbaAk6EnBdjkRXtZkGoPM7z4,26.2375519,78.2091219,local_government_office
38,Speaker Gopal Sharma,ChIJfTD5DGbBdjkRwJ7w8bhYv_0,26.223486,78.22510199999999,local_government_office
39,ITS Gwalior - Best Web Design and Digital Marketing Company in Gwalior,ChIJebM9OGjBdjkR1CGdnB5jAAY,26.2287057,78.2300001,local_government_office
40,Janmitra kendra,ChIJh5gPlCjBdjkRSffBRKu2jzk,26.2578945,78.2123163,local_government_office
41,Assistant Excise Commissioner Office,ChIJjcntUZbHdjkR7GAsqXlHDO4,26.2131012,78.1792534,local_government_office
42,RTO Padav,ChIJQdLLCSDEdjkR2PSgTeo-Efw,26.2124825,78.1783346,local_government_office
43,Sankalp Samaj sevi sanstha,ChIJF3fRP5zGdjkRVgYKBzgGKO8,26.2163954,78.1722715,local_government_office
44,Nagar Nigam Training Centre Gwalior,ChIJp4l7vB3EdjkRNJ4j_HVx4AI,26.211492,78.1869126,local_government_office
45,P.W.D Electrical Section,ChIJrR7cICfEdjkRANZmWfsFaJs,26.209425,78.172502,local_government_office
46,Parikahetriya Udyog Karyalaya,ChIJ1TEFHyfEdjkR_Fst8zsD-kY,26.209356,78.171977,local_government_office
47,"Add Commissioner Court ,Gwalior Division",ChIJnfOSPITFdjkRIzscUce_4kA,26.208223,78.1729036,local_government_office
48,Jan Sampark Karyalaya,ChIJObhUCyfEdjkRVizGnfogt5c,26.210504,78.171033,local_government_office
49,Sarvesh sharma@advocate,ChIJpQbWxhXHdjkRMzcB4J_ktEM,26.2221927,78.1767854,local_government_office
50,"Mayor's Office,Gwalior Municipal Corporation",ChIJBRuhUybEdjkRHVxEoLcB1dU,26.20879099999999,78.1702342,local_government_office
51,Karyalay Mahapour Jal Vihar,ChIJ64P1syfEdjkRVcGO68YaaGo,26.209221,78.1696269,local_government_office
52,Regional Art Craft & Design Centre,ChIJGQW6i4rFdjkRVN_aF3TQBIQ,26.2069681,78.1713627,local_government_office
53,M.P Board of Secondary Education,ChIJNS2aXwfDdjkRTXKk42mq4Ww,26.2088442,78.1909094,local_government_office
54,Ravi Shakya new saket nagar gwl mp,ChIJ2xDLYrfHdjkR7vFdvQYD7mw,26.2257035,78.177597,local_government_office
55,TIN Facilitation & PAN Card Center,ChIJeySzNRvEdjkRacH3sWNW16I,26.20602,78.190553,local_government_office
56,Jio Town Office,ChIJQ3CmJ0zFdjkRpacCQujW2aI,26.2062489,78.19124719999999,local_government_office
57,SHANTA TAI,ChIJp9bWlQjFdjkRulZ6Xh6cIAs,26.2071347,78.16311879999999,local_government_office
58,Trademark Gwalior,ChIJ_____1PBdjkRkVLuQI422GY,26.2062533,78.1953384,local_government_office
59,COPYRIGHT GWALIOR,ChIJAfURrZrFdjkRwehm4hHfASc,26.206246,78.1953436,local_government_office
60,Praveen Agarwal,ChIJq0G7TwTEdjkRn9FctOx_c3M,26.206272,78.1954552,local_government_office
61,J P Associates,ChIJ3eoBOwTEdjkRCJUGy2_GcnM,26.2062059,78.1955042,local_government_office
62,MPMKVVCL CIRCLE OFFICE,ChIJ20SBNi7EdjkReVQMMXUy9ok,26.2010453,78.1646189,local_government_office
63,"Muncipal Corp. Water Department Office,",ChIJN_M9ISzEdjkRK1iujqgERIw,26.2036561,78.1619042,local_government_office
64,HON'BLE M P HIGH COURT BENCH GWALIOR,ChIJ9yb0qw_EdjkRzQJycbSdBPk,26.1995427,78.1931496,local_government_office
65,MPMKVVCL DIVISION OFFICE,ChIJr4IIMC7EdjkRXXGH_Xz5u1Y,26.2005381,78.16429509999999,local_government_office
66,Indarganj Police Station,ChIJkbAM6S3EdjkR9YLq7Fi-NXE,26.200591,78.161007,police
67,Police Station Madhav Ganj,ChIJHYxda8bFdjkRKTdvm2b5fNc,26.1924898,78.14509579999999,police
68,Gwalior Police Station,ChIJHUvRcJPGdjkRWE5kf2DIpbM,26.2344569,78.1721888,police
69,Police Station Thatipur,ChIJo4bpVPzDdjkRzRSowU01r1w,26.21230319999999,78.2103784,police
70,Police Control Room Gwalior,ChIJHUvrkRzEdjkRWinNxP1Nz6w,26.2073559,78.1891243,police
71,Police Sahayata Kendra Hazira,ChIJv0NAub_GdjkRmLdumadB3KM,26.234156,78.180942,police
72,Office of Nagar Police Commissioner,ChIJNTq68LLGdjkRpnkMupzIFow,26.2020571,78.1595249,police
73,Thana Gwalior,ChIJE6o_QZPGdjkRCbgD5dip6ZI,26.234109,78.17234069999999,police
74,महिला थाना,ChIJ9RmRwZpCfDkRXp9C8YIWsOU,26.1911746,78.1792432,police
75,Police Chowki Ghasmandi,ChIJbQjpl_LGdjkROTBOxpAaOwo,26.2364189,78.1670539,police
76,"Police Station -Jhansi Road,Gwalior",ChIJqSJLp0DEdjkRcA-7DJtDenc,26.1884899,78.1746,police
77,Police Sahayata Kendra Sarafa Bazar,ChIJK9_Nt9PFdjkRJxfkca4MbKY,26.202239,78.152219,police
78,police station,ChIJaTInpmbGdjkRw6MtPkxPbjg,26.2275535,78.1504673,police
79,Police Station,ChIJfWAICNHFdjkRY_whtGOh_OM,26.203819,78.1468259,police
80,Kampoo Police Station,ChIJU6XqmMrFdjkR7jU81rOU3_U,26.1877708,78.1549414,police
81,Police Line Saf,ChIJseAvIMrFdjkRpNrsqQJtRtY,26.1885896,78.1509109,police
82,Hazira Police Station,ChIJi8_XkOfGdjkRcCRrSDfgRNE,26.24947,78.1782109,police
83,State Cyber Police North Zone Office,ChIJiYYyx7XFdjkRTKS13SywYqs,26.1860538,78.1532139,police
84,Police Station,ChIJiWgXa0TBdjkRBzNKk5UMCB8,26.2317415,78.2179332,police
85,Police Station Gole ka mandir,ChIJWRbeF0TBdjkREttCaYV9crs,26.2320332,78.21791689999999,police
86,Police Chowki Gol Pahariya,ChIJNcPFut3FdjkRo-fEneN9OJE,26.2010739,78.135662,police
87,Maharajpura Thana,ChIJ3zMvfdzAdjkRs6X7Rwe_t20,26.27112,78.219807,police
88,Police Station Maharajpura,ChIJMzgO0-nAdjkRibGuAUmagN0,26.277692,78.2253046,police
89,Padav Police Station.,ChIJD2lRyZ_GdjkRWAFE7fcr7TQ,26.2141134,78.17658829999999,police
90,M. P. Police,ChIJCdSb2V3BdjkRokHGD8qYz4w,26.2223611,78.222493,police
91,Traffic Police Booth,ChIJAc-dX6DGdjkRU7ijdjCZY9U,26.2145014,78.1820298,police
92,Women Police Station(महिला पुलिस थाना ),ChIJUcLRYUzFdjkR4UYTUcsNMaI,26.2120081,78.1757531,police
93,Ladies Police Station Gwalior,ChIJXe-kmyDEdjkRWPE0QW-sSSw,26.2118439,78.1754658,police
94,Railway Police Force (RPF) Station,ChIJz2wtPaHGdjkR54VNsc1_90Q,26.2166051,78.1836194,police
95,STATION POLICE CHOKI,ChIJ0VBUSqHGdjkRJUk_yqRdSng,26.2165979,78.1836412,police
96,"Police Help Centre,Station Area,Gwalior",ChIJkd7TJaHGdjkR8qvRW35Be1g,26.2163458,78.18407330000001,police
97,Police Help Centre-Phoolbagh,ChIJ8RUXiCfEdjkR1NA83zQtFoI,26.2118162,78.1699089,police
98,"Crime Investigation Department (CID),Gwalior",ChIJTRadgxzEdjkRoqwdx-_I58w,26.2078886,78.1883189,police
99,SP Office Gwalior,ChIJx0S7nxzEdjkRD-7v3ee3Qm0,26.2079623,78.1891129,police
100,Cybercorps Information Solution,ChIJM9bYshzEdjkR0u1hy7Byar4,26.2086617,78.19057699999999,police
101,Police Thana Sewanagar,ChIJ7Yih-9jHdjkRpM9703atll8,26.2259177,78.1729703,police
102,Regional Forensic Science Laboratory,ChIJq6qqagXEdjkRGU09FuG5Mwg,26.2035226,78.1920663,police
103,MP POLICE HOUSING CORPORATION GWALIOR,ChIJUa8B-QbEdjkR8OX1EqeF9NU,26.2057159,78.1986692,police
104,University Police Station,ChIJfRCVXg7EdjkRM6Py40dy2Gk,26.1980632,78.1932163,police
