,place_name,place_id,lat,lng,type
0,Bhawani motor garage,ChIJ4RXf0IaboDkRWlBJR7Frxno,29.2235113,79.5303979,parking
1,Indian Overseas Bank,ChIJUZoTp8SaoDkR9SwUY9aB4Ro,29.20909,79.52756169999999,bank
2,ICICI BANK ATM,ChIJOUytGsKaoDkR4l3ndmfKm9s,29.214536,79.53157999999999,bank
3,Vijaya Bank,ChIJw96tC-eaoDkR0xw3TbuqvQ4,29.2162822,79.52361350000001,bank
4,Syndicate Bank,ChIJeSfq1eCaoDkR7zxtfkPbDmg,29.2178077,79.51949119999999,bank
5,Uttarakhand State Co-Operative Bank,ChIJ2xcjGuGaoDkRzqL-zsXajMs,29.2177673,79.51920419999999,bank
6,Union Bank of India,ChIJ1dSCkeeaoDkRhrRM786imA0,29.21561040000001,79.5248204,bank
7,Bank of India,ChIJz6Ak9eeaoDkR9NKG0IxbzvI,29.21486059999999,79.52526019999999,bank
8,Kurmanchal Nagar Sahkari Bank,ChIJ1zlBK-eaoDkR21osRuBGQRE,29.2178628,79.5183643,bank
9,ICICI Bank ATM,ChIJn7VsaMOaoDkRCXI8UWkRUAQ,29.210017,79.528115,bank
10,Almora Urban Co-Op Bank Ltd.,ChIJjXhG8eeaoDkRaXNFK7ZTST4,29.2152736,79.5256741,bank
11,"State Bank of India, Mukhani",ChIJy45dcuGaoDkRzoKFZDoshRg,29.21876749999999,79.5188019,bank
12,HDFC Bank ATM,ChIJQ5AnAOiaoDkRH1w6qOlQl0g,29.214878,79.52674499999999,bank
13,Nainital District Co-Operative Bank,ChIJY_Z7osKaoDkRLoWTJcSQEeA,29.214458,79.52800049999999,bank
14,Punjab National Bank,ChIJMRV7u8SaoDkRpJBHQmaEdMc,29.2083542,79.52762729999999,bank
15,Uttrakhand Gramin Bank,ChIJR7GpF8OaoDkRaL6v7Yb98Lw,29.2112502,79.528195,bank
16,Nainital Bank,ChIJBekIDR6boDkRLUkpr1WcvBU,29.2190352,79.5141318,bank
17,Bank of Baroda,ChIJAbtdAx6boDkRXVpCcBikpYc,29.219224,79.51429,bank
18,Axis Bank ATM,ChIJR0UzFu6aoDkRH_lcxT2DTb4,29.2182265,79.51313789999999,bank
19,Oriental Bank of Commerce,ChIJA-YmZx6boDkRLAjZiyNkL2M,29.2182644,79.5129767,bank
20,Bandhan Bank,ChIJA-YmZx6boDkRaldR7jtDwF4,29.2182644,79.5129767,bank
21,"State Bank of India, Mangal Paraw",ChIJoUA0b8OaoDkR0a5i4Vvt_H8,29.210122,79.52853089999999,bank
22,Canara Bank,ChIJJe3uo8SaoDkRgFdv7OrCZIk,29.2087861,79.5277333,bank
23,Bank Of Baroda Branch,ChIJQzyk0umaoDkRBCWa1vBVUgk,29.215783,79.529491,bank
