,place_name,place_id,lat,lng,type
0,State Bank of India,ChIJa9BUCdpwdzkRiODzfDOhnRI,25.4431729,78.5543758,bank
1,Central Bank of India,ChIJvZKk2yZxdzkRl-wRbSMkSBM,25.4531807,78.549998,bank
2,Indian Overseas Bank,ChIJb94zqyZxdzkRsGM6hUhwWHA,25.4552729,78.54907039999999,bank
3,"SBI , Nagra, Jhansi",ChIJJ8JnBsFwdzkRl0xSgNBPKT4,25.4296219,78.546482,bank
4,Union Bank of India,ChIJ0yMX3ARxdzkRTsYBjsnRAgQ,25.4565855,78.5308743,bank
5,State Bank of India,ChIJv0bN9dB2dzkRa2SjPiVvShY,25.4603514,78.57571539999999,bank
6,बँक ऑफ बडोदा,ChIJfSXZiRx3dzkRLOzIAQXRQG0,25.4486518,78.59733489999999,bank
7,State Bank of India,ChIJMcAjMRlxdzkRvoUYzXDCX9w,25.4584088,78.5309577,bank
8,Punjab National Bank,ChIJ0SSmvDx3dzkRWA6z77DHOq4,25.440204,78.5824706,bank
9,Sarv U.P Gramin Bank,ChIJa6FqXexwdzkRvFKU90xUdF0,25.4288579,78.5361468,bank
10,UCO Bank,ChIJtR2_29R2dzkRqmdXTEM9x3U,25.4546256,78.56722719999999,bank
11,Andhra Bank,ChIJqbW8GdV2dzkRgRGXSE7ZIfg,25.4534711,78.5677536,bank
12,Syndicate Bank,ChIJEdsmHdN2dzkRGf1WMB7TTFo,25.4598979,78.56820220000002,bank
13,YES Bank ATM,ChIJRWkcOtVwdzkRjNi6VeUM3sc,25.44911,78.565316,bank
14,YES Bank,ChIJaYtBOdVwdzkRpDkQ0Hx5dmE,25.44911,78.565316,bank
15,Axis Bank,ChIJyX-dGCt3dzkREootkSOpKo8,25.448925,78.5672368,bank
16,Axis Bank ATM,ChIJB28l3Sp3dzkRgbaP9Wjacvg,25.448875,78.567364,bank
17,PNB Bank,ChIJlalS0ip3dzkRTVKgnHiGu6E,25.4486603,78.56630659999999,bank
18,HDFC Bank,ChIJSZlCICt3dzkRMO-iUHuThUk,25.4488386,78.5675499,bank
19,बैंक ऑफ़ बड़ौदा,ChIJAQAAQNZ2dzkRjxZW2L5fQRs,25.453031,78.573183,bank
20,Jal Nigam Office,ChIJQzhNzCt3dzkRD_1KLUQCUMs,25.448235,78.5708727,local_government_office
21,Cantt Board Office,ChIJCZS2nj53dzkRoG6mQumKcwI,25.4346227,78.5848188,local_government_office
22,Top N Town Depot,ChIJ4XU_mCl3dzkRotL9N4ZVDVk,25.4492857,78.5730825,local_government_office
23,"Fauston India, State Office",ChIJTYcwRCRxdzkRcEwmgp3Q9h0,25.4575483,78.55095860000002,local_government_office
24,Balaji I.T.I,ChIJ30fiRRlxdzkRO7P7wxZ0LOk,25.4555082,78.5387494,local_government_office
25,R T O Office,ChIJuX3mchx3dzkRLeQpzOy61_0,25.4478795,78.5960234,local_government_office
