,place_name,place_id,lat,lng,type
0,Car parking,ChIJy_ys-PtDCjkRpK2P2wvpWP0,29.2058392,78.9579346,parking
1,HDFC Bank,ChIJwYQGd0fM4DsRDQQWNYb98U4,29.21415,78.9632422,bank
2,बँक ऑफ बडोदा,ChIJQYsE47lDCjkRoqdY7_4-j6c,29.2102798,78.96255839999999,bank
3,ICICI BANK ATM,ChIJUdrFdgv8CjkRd9WPGU4F_AI,29.208902,78.96470300000001,bank
4,Axis Bank ATM,ChIJubbdIL1DCjkRkiqgNNKKFe4,29.21013859999999,78.96220149999999,bank
5,Axis Bank ATM,ChIJW7CH-rlDCjkRaVNxmjOYVHg,29.209926,78.962092,bank
6,Punjab National Bank,ChIJxW0zTrhDCjkRtNeI2kLynL4,29.212663,78.9607036,bank
7,Andhra Bank,ChIJeWhvKbhDCjkRil4H_c11P5U,29.2126907,78.9625255,bank
8,Uttarakhand Gramin Bank,ChIJBYKbRLhDCjkR3OnuVMmdHh8,29.2130016,78.96066119999999,bank
9,Almora Urban Co-operative Bank Limited,ChIJNetm8LhDCjkReSvgPzEk-Q0,29.2128075,78.95942199999999,bank
10,Bank of India,ChIJPcNfT7pDCjkRlQwsS6_hEjc,29.2073762,78.9606215,bank
11,Union Bank of India,ChIJK4Qmw7BDCjkR3qram4oGzvI,29.2083713,78.9648265,bank
12,"ICICI Bank Katoratal Road, Kashipur - Branch & ATM",ChIJbadf8LdDCjkRuqSOJpSTcyQ,29.2144,78.96329999999999,bank
13,IDBI Bank,ChIJK9IhCbhDCjkRJGWJE76lFeE,29.2147693,78.9618875,bank
14,Oriental Bank of Commerce,ChIJQ0UYxc5DCjkRDXj23SNzERc,29.2149028,78.9616058,bank
15,Axis Bank ATM,ChIJh4bl06RDCjkR5srGi0g5xM8,29.2067906,78.9605656,bank
16,Central Bank of India,ChIJ_TOQHchDCjkRsLixuT_eNks,29.2152586,78.9634592,bank
17,Bandhan Bank,ChIJe-UbXMdDCjkRcgLWnKTZZ5o,29.215181,78.958231,bank
18,Canara Bank,ChIJJ86gDrFDCjkRmRCU2H1qVKc,29.2073156,78.9666422,bank
19,Allahabad Bank,ChIJj4nlFchDCjkRGopV6kn_9uw,29.2161223,78.9640015,bank
20,Vijaya Bank,ChIJ77ULC7FDCjkR4le-g4Bi2ac,29.20715659999999,78.9668394,bank
21,State Bank of India (ADB),ChIJjx-g6LlDCjkRO7EfGksx8Q4,29.2162717,78.9641169,bank
22,Punjab & Sind Bank,ChIJ4ytxlc5DCjkRnKXTMhWwq6s,29.2163434,78.9640648,bank
23,YES Bank ATM,ChIJIb_SlM5DCjkR_w7oeJKD954,29.2046819,78.9637775,bank
