,place_name,place_id,lat,lng,type
0,Triangular Park Sushma,ChIJ_TyYrzaVDzkRxEAwSE6RAdg,30.6383986,76.8274969,parking
1,Children’s Park,ChIJj1RNcq-VDzkRHy8xQUweDE8,30.6339246,76.82925809999999,parking
2,Parking Market,ChIJry6YdG7uDzkR8QSBu_LcM-U,30.7302756,76.7205652,parking
3,Punj Security & Housekeeping Services Pvt Ltd,ChIJo9iODADuDzkRzoDzWCjAFHU,30.7588069,76.7332168,parking
4,Sector 48A Parking Lot,ChIJ9UkZrGvsDzkRNnL275LRiKc,30.6920184,76.7599377,parking
5,Sector 49 B Market Parking Lot,ChIJP2g2rWrsDzkRxma5Bd4YIlE,30.694153,76.75669169999999,parking
6,Rehri Market 46 Parking Area,ChIJaVrgDUPsDzkRmIVDzfZdpVQ,30.6995956,76.7660461,parking
7,Sector 46 Market Front Parking Lot,ChIJ2Uv_CkPsDzkR_Fx13thJNN8,30.69981829999999,76.7656404,parking
8,Parking Area,ChIJf4g4nUPsDzkRKxgPlUSrHAA,30.7007316,76.7653023,parking
9,Parking Area,ChIJX0DAATjsDzkRY5G5WFTyxEs,30.706042,76.7565114,parking
10,Parking Lot,ChIJuYP2D4buDzkR9CdfbsFqBPU,30.7088329,76.722965,parking
11,E Block Parking,ChIJlR1VCFjsDzkRAV-1-ZRs-18,30.70759850000001,76.77964419999999,parking
12,Parking Lot,ChIJxb1Ij4juDzkRqcCbGGlsTyE,30.7107646,76.72075530000001,parking
13,Parking for Pvt Vehicles,ChIJP5spvdLtDzkR2cCSVAZuYio,30.7172863,76.7445638,parking
14,ECHS Parking Lot,ChIJ250j5_rsDzkR3CMPruy8wes,30.7119355,76.7896882,parking
15,Sector 34 Parking,ChIJdWuAaa3tDzkRa783L01icz8,30.7199043,76.7681874,parking
16,Parking 34 Vijaya Bank,ChIJdWuAaa3tDzkRIeBsaH6e_mY,30.7201946,76.7688636,parking
17,Parking Lot adjacent to CBI Office,ChIJN78pcPzsDzkR1-DoDTapwq0,30.71569089999999,76.7876149,parking
18,Parking Lot for Lake,ChIJ7SARHtrtDzkR8H_u3s1J7ZA,30.7285017,76.7396041,parking
19,Parking,ChIJHxRtecrsDzkRS_4Y2x8aeFQ,30.7018739,76.8226309,parking
20,Bank of India,ChIJfdR4LPHsDzkRbUkRqpuWvVE,30.7060511,76.7860795,bank
21,Canara Bank,ChIJ____v-XtDzkR4a78OXZeXDw,30.7444754,76.743578,bank
22,Corporation Bank,ChIJRdNcgQ3tDzkRUEmWd50Q0l8,30.7442806,76.7888243,bank
23,Corporation Bank,ChIJjVZ0gw3tDzkRSw06m1qm-OQ,30.7365742,76.79500279999999,bank
24,IDBI Bank,ChIJ1wBjIxLtDzkRKcPor2MF-Q4,30.7386679,76.7931505,bank
25,IDBI Bank,ChIJH2mMF6btDzkRdwxw0wm89HA,30.7108797,76.7203746,bank
26,Punjab National Bank,ChIJVdnclgztDzkRHZbWeaqk18U,30.7413977,76.7866944,bank
27,State Bank of India,ChIJVVVVyXftDzkRfj4KBoTxu7I,30.7261782,76.7951054,bank
28,HDFC Bank ATM,ChIJq6qqqgvtDzkR3ZFEmKk_csY,30.7404,76.78313,bank
29,Axis Bank,ChIJ_0quW5vuDzkRbe8pyiXZJjA,30.70776960000001,76.7246407,bank
30,CBI,ChIJq6qq6l2TDzkRt643cVhbFx4,30.6916477,76.8514771,bank
31,Bank Of Maharashtra,ChIJq6qqqgvtDzkR-mBTYc_3g8U,30.7393517,76.7848655,bank
32,Canara Bank,ChIJq6qqqgvtDzkRy8gQww6TBXk,30.7380329,76.7844638,bank
33,State Bank of India,ChIJVVVVFbPtDzkRtSZr-RtUn_Q,30.7226156,76.7699165,bank
34,Union Bank Of India,ChIJVVVVFUGTDzkRsbE6MgpFBZU,30.69964169999999,76.844708,bank
35,State Bank Of India,ChIJ____UCftDzkRTS0jmBrAwso,30.72253510000001,76.80887969999999,bank
36,State Bank of India,ChIJbbORGJqUDzkRR7t8CQViS7Q,30.6717793,76.8550618,bank
37,State Bank of India,ChIJ-9peflfuDzkR4h-kOXtki8E,30.71446119999999,76.6988621,bank
