,place_name,place_id,lat,lng,type
0,Natal International Airport,ChIJQzHCdHStswcRgLEdJRVqeXU,-5.768881800000001,-35.3660721,airport
1,Condomínio Aeronáutico Costa Esmeralda,ChIJcTltHjdfsgcRgQjHOsOHt3I,-6.022056899999999,-35.2406508,airport
2,Universo das Passagens,ChIJ07Umb6OrswcRWolKq8j-Qy4,-5.7993847,-35.2212314,airport
3,Aeroporto Augusto Severo,ChIJi4J7ef5XsgcRYr5WHa2apZo,-5.898962200000001,-35.24865339999999,airport
4,Antigo Aeroporto Augusto Severo,ChIJ9co3VN1XsgcRa8jxS4J8N5A,-5.8994541,-35.2486913,airport
5,Cargo Terminal - Inframérica (Christmas TCB),ChIJt_Oo7AytswcRi2BqCc7JXxQ,-5.7641449,-35.3668413,airport
6,Aeropuerto Saida 1,ChIJOwAz9HOtswcRXkgudcjRHiw,-5.762724899999999,-35.3729705,airport
7,Aeroporto do rio grande do Norte,ChIJ32N-HIitswcRtF80RMV3rPA,-5.763481,-35.373481,airport
8,Radar Meteorológico Natal,ChIJoWujBaVXsgcRba7cytmJzEY,-5.9188959,-35.2500793,airport
9,Heliporto Natal Mar Hotel,ChIJ--4_viT_sgcR7gS4uRtuacQ,-5.8655237,-35.1805776,airport
10,Táxi 24horas,ChIJJT82Z3H4sgcRxct6AzaLBx8,-5.9243371,-35.2078936,airport
11,Ceará Mirim Airfield,ChIJAwiGoWywswcRVkt7uEr3bb8,-5.660989799999999,-35.41484519999999,airport
12,Pista de skate,ChIJpU4qNSiqswcRyCb-kKVpsYg,-5.7324532,-35.2505362,airport
13,Bradesco Prime,ChIJBwAAEHMAswcR12UDaUz-r_Y,-5.7838012,-35.2056291,bank
14,Caixa Econômica Federal,ChIJWap7yXIAswcRiyG9tr9jSbM,-5.787339299999999,-35.2059598,bank
15,Banco do Brasil - Agência Ribeira,ChIJqVBUrXEAswcRVjQXhKGFZo8,-5.7752392,-35.2043282,bank
16,Banco do Nordeste,ChIJlSkqkvn_sgcRN_uaKdtMDSM,-5.812503099999999,-35.2101029,bank
17,Caixa Econômica Federal,ChIJm8KXwxMAswcRXxXuoUD4H_0,-5.7887425,-35.19876370000001,bank
18,Bradesco,ChIJb4aAbC7_sgcRL6yaqmB7zp8,-5.851357200000001,-35.2049776,bank
19,Nordeste Fomento Mercantil LTDA,ChIJs6mfER0AswcRNf9voKI2QKQ,-5.834062699999999,-35.21375099999999,bank
20,Bradesco,ChIJHSRA1kSqswcRkeWNG80WmTI,-5.7578323,-35.24722250000001,bank
21,UP Brasil - Natal,ChIJs1jFvfH_sgcRc8NGj8wtpac,-5.833174199999999,-35.2142987,bank
22,Próspera,ChIJZzjMVqiqswcRf-QUeerJU0o,-5.797473,-35.21710079999999,bank
23,Loja Bem Promotora Natal,ChIJ6zKdlAwAswcR4rQJ5GDaUgQ,-5.784613999999999,-35.205264,bank
24,Banco do Brasil S/A,ChIJQ7pBkHMAswcR0hjpbxhTZek,-5.793623200000001,-35.2059974,bank
25,Bank of Brazil,ChIJWY7j54H_sgcRtPb71E0sXsc,-5.853566499999999,-35.2116705,bank
