,place_name,place_id,lat,lng,type
0,Palika Bazar Parking,ChIJd3kdD0zaDTkRXvBnvtkJO2Y,29.3936493,76.9691217,parking
1,Paid Parking,ChIJ3zkyJ7PbDTkRyc6YixaTDMs,29.3908181,76.9632484,parking
2,Free Car Parking,ChIJz2cN37LbDTkRffG4pv69fBw,29.3905575,76.9630908,parking
3,Car Parking,ChIJ5yTDPOTaDTkR9Jy7wlUNZdI,29.3609362,76.971732,parking
4,Oriental Bank of Commerce,ChIJw44bCFLaDTkRFGVAy3ULWn0,29.388449,76.9692546,bank
5,Bank Of Baroda,ChIJQZH2BVLaDTkRcI-U-qV-Cx0,29.3883877,76.96930259999999,bank
6,Panipat Urban Co-operative Bank,ChIJ02lPoUbaDTkRd8DbP72fA3U,29.3955981,76.9805094,bank
7,United Bank of India,ChIJYxupAUnaDTkR48RT06hubho,29.3971275,76.9727374,bank
8,SHS wealth ( sagar jangra ),ChIJeb8JPlnaDTkR-LzFQggxKlM,29.379974,76.97635199999999,bank
9,"STATE BANK of INDIA , Panipat",ChIJwWVyOrbbDTkR49Uc8jDnB7c,29.3975651,76.9564101,bank
10,Bank Of Baroda,ChIJxzlNFVnaDTkRllbtdgHXVV8,29.3822218,76.9801447,bank
11,IDBI Bank,ChIJ2VYcFFHaDTkRXo-LkPtq00s,29.3848163,76.9718201,bank
12,Punjab National Bank,ChIJwzzXkFzaDTkRhQmIkBdvCio,29.3879749,76.982438,bank
13,HDFC Bank ATM,ChIJJf50lLbbDTkRDrE2PeFdjT0,29.3903023,76.958446,bank
14,The Panipat Co-operative Bank Ltd.,ChIJIVowMkzaDTkR0BNW6CDwe84,29.3915493,76.9692321,bank
15,Indian Overseas Bank,ChIJo1GfcFHaDTkRVnaLsJOollU,29.3852647,76.97077070000002,bank
16,Punjab National Bank,ChIJiZMX31HaDTkRs8JcyymlSYg,29.388574,76.97171449999999,bank
17,Karur Vysya Bank,ChIJ5UxNx03aDTkREuRMqDQJHyE,29.3902421,76.9686031,bank
18,Punjab National Bank,ChIJ49f_ckzaDTkReX7LqqA3K8o,29.3935388,76.9684553,bank
19,Federal Bank,ChIJ5379MUzaDTkR46QyETPuwzc,29.391195,76.9692517,bank
20,Allahabad Bank,ChIJjy8B9FHaDTkR_54NtPfFk5s,29.3874365,76.9704411,bank
21,State Bank of India,ChIJX-wkZzTaDTkRzkqnRq5JDfw,29.4040271,76.9674307,bank
22,Cetral Bank Of India,ChIJi1UPt0vaDTkRN0CKDOhUaIo,29.3954529,76.968473,bank
23,ICICI Bank ATM,ChIJCTXv303aDTkR_URBgUWfJKU,29.3948,76.9573,bank
24,JK Lakshmi Cement Ltd.,ChIJxf4qsEnaDTkRahuj9XEiiXo,29.3980375,76.9723968,local_government_office
25,Mayor Office,ChIJT6_aqRTaDTkRWq1QBAXx38k,29.4026193,76.9929921,local_government_office
26,"Huda Office, Panipat",ChIJOdvK_IXZDTkRGAmSSf8OKeY,29.4335986,76.9712703,local_government_office
27,Jobismo,ChIJJQAA0LzZDTkR_dJWFpsVp1w,29.449751,76.976547,local_government_office
28,Bamnia Associates,ChIJN7XJRUvaDTkRrFIPsgLRY-I,29.3947346,76.9651726,local_government_office
29,Job,ChIJHbeXNKbbDTkRkdlxy9UCYec,29.3923797,76.96574629999999,local_government_office
30,Vishal Communication,ChIJiTZpnkfaDTkRnP-xo4xkL1U,29.3996408,76.9785887,local_government_office
31,"ESIC BRANCH OFFICE ( 109, Adarsh Nagar, Panipat)",ChIJpenE_7TbDTkRUyH-MrQRFXo,29.3961572,76.961568,local_government_office
32,Go Safe Gps Tracking Solution,ChIJ61GwAYbbDTkRfgC4QhWQq6g,29.3959366,76.9608192,local_government_office
33,PASSPORT SEVA KENDRA,ChIJX90pTrTbDTkR_hxYc31NP9Y,29.3956654,76.96079060000001,local_government_office
34,Aadhaar Card Centre,ChIJ5Zm3Ck3aDTkRBK_47b5fpVo,29.39006769999999,76.9669683,local_government_office
35,Waayslive,ChIJ7dVyM77bDTkR7k7kNgPsCwY,29.3890581,76.968341,local_government_office
36,Customer Service Point,ChIJl3PgjLbbDTkR25ZosFohqxY,29.3952817,76.9571964,local_government_office
37,Sumit Common Service Center,ChIJ0ZFarz7aDTkR0kKKfVcqCyI,29.4078069,76.97868009999999,local_government_office
38,Public Health department (water supply) office,ChIJfdFJTz_bDTkRLVxEvZ_CnPI,29.3912675,76.95846879999999,local_government_office
39,DC Camp Office Panipat,ChIJrUT4OcjbDTkR5-yaSiHhN_8,29.39974649999999,76.9549906,local_government_office
40,Fisheries Office Panipat,ChIJ-SdAxs7bDTkRVUZbrv7LNOs,29.40513709999999,76.9568346,local_government_office
41,PASSPORT SEVA KENDRA,ChIJzbplMy3bDTkRNXfKDaRjh58,29.409421,76.98035899999999,local_government_office
42,Program Tax Consultants,ChIJ0ZgAb1raDTkRCeLlCXYHDCE,29.385463,76.97672899999999,local_government_office
43,V.S. Communication,ChIJXWwmklPaDTkRzHUsiLqIRF0,29.3834914,76.96828529999999,local_government_office
44,Sadar Police Station,ChIJWUy4REraDTkRb5DnGEsUxqE,29.397866,76.9679591,police
45,Police Station Huda,ChIJs1683FjaDTkR9r7K-RVk2fk,29.3803561,76.98047629999999,police
46,"Police Station Sector 13-17, Panipat",ChIJvRwg6yvaDTkRIJGGOGmPoI8,29.4181515,76.9687155,police
47,Women Police Station,ChIJoWVof4jZDTkRDYHM-KUaKjI,29.4259063,76.9758758,police
48,City Police Station,ChIJa8-IT0raDTkRuCOWxZcMPzU,29.3974854,76.96816419999999,police
49,Thana Sadar Distt. Panipat,ChIJP2g6REraDTkR_4dN3xD3yUM,29.3978336,76.96795569999999,police
50,Police Thana Panipat City,ChIJHds8tEvaDTkREgNOr8yKOW0,29.3966079,76.9683702,police
51,police Station,ChIJYS-YADTaDTkRMZzWVF6Ttmk,29.4055687,76.9698044,police
