,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
0,Natal International Airport,ChIJQzHCdHStswcRgLEdJRVqeXU,-5.768881800000001,-35.366072100000004,airport,,,,,,,
1,Condomínio Aeronáutico Costa Esmeralda,ChIJcTltHjdfsgcRgQjHOsOHt3I,-6.022056899999999,-35.2406508,airport,,,,,,,
2,Universo das Passagens,ChIJ07Umb6OrswcRWolKq8j-Qy4,-5.7993847,-35.2212314,airport,,,,,,,
3,Aeroporto Augusto Severo,ChIJi4J7ef5XsgcRYr5WHa2apZo,-5.8989622000000015,-35.24865339999999,airport,,,,,,,
4,Antigo Aeroporto Augusto Severo,ChIJ9co3VN1XsgcRa8jxS4J8N5A,-5.8994541,-35.2486913,airport,,,,,,,
5,Cargo Terminal - Inframérica (Christmas TCB),ChIJt_Oo7AytswcRi2BqCc7JXxQ,-5.7641449,-35.3668413,airport,,,,,,,
6,Aeropuerto Saida 1,ChIJOwAz9HOtswcRXkgudcjRHiw,-5.7627248999999985,-35.3729705,airport,,,,,,,
7,Aeroporto do rio grande do Norte,ChIJ32N-HIitswcRtF80RMV3rPA,-5.763481,-35.373481,airport,,,,,,,
8,Radar Meteorológico Natal,ChIJoWujBaVXsgcRba7cytmJzEY,-5.9188959,-35.250079299999996,airport,,,,,,,
9,Heliporto Natal Mar Hotel,ChIJ--4_viT_sgcR7gS4uRtuacQ,-5.8655237,-35.1805776,airport,,,,,,,
10,Táxi 24horas,ChIJJT82Z3H4sgcRxct6AzaLBx8,-5.9243371,-35.2078936,airport,,,,,,,
11,Ceará Mirim Airfield,ChIJAwiGoWywswcRVkt7uEr3bb8,-5.6609897999999985,-35.41484519999999,airport,,,,,,,
12,Pista de skate,ChIJpU4qNSiqswcRyCb-kKVpsYg,-5.7324532,-35.2505362,airport,,,,,,,
13,Bradesco Prime,ChIJBwAAEHMAswcR12UDaUz-r_Y,-5.7838012,-35.2056291,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 73, 66, 64, 78, 81, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 80, 77, 71, 67, 57, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 69, 57, 55, 61, 59, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 82, 81, 77, 74, 63, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 100, 90, 85, 87, 79, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,Caixa Econômica Federal,ChIJWap7yXIAswcRiyG9tr9jSbM,-5.787339299999998,-35.2059598,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 86, 91, 85, 74, 60, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 86, 85, 74, 62, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 68, 68, 65, 63, 53, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 78, 82, 83, 78, 60, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 100, 93, 85, 75, 58, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,Banco do Brasil - Agência Ribeira,ChIJqVBUrXEAswcRVjQXhKGFZo8,-5.7752392,-35.2043282,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 71, 68, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 84, 68, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 89, 75, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 100, 85, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 99, 90, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,Banco do Nordeste,ChIJlSkqkvn_sgcRN_uaKdtMDSM,-5.812503099999999,-35.210102899999995,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 96, 75, 85, 100, 74, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 76, 81, 77, 64, 48, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 92, 65, 59, 67, 54, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 87, 81, 72, 77, 71, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 100, 97, 92, 92, 74, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,Caixa Econômica Federal,ChIJm8KXwxMAswcRXxXuoUD4H_0,-5.788742500000001,-35.19876370000001,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 100, 79, 71, 72, 62, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 86, 78, 70, 67, 59, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 72, 64, 58, 56, 50, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 84, 81, 79, 80, 72, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 82, 74, 77, 82, 73, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,Bradesco,ChIJb4aAbC7_sgcRL6yaqmB7zp8,-5.851357200000002,-35.2049776,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 81, 68, 77, 100, 77, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 95, 77, 81, 77, 45, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 100, 81, 59, 59, 59, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 86, 63, 45, 50, 54, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 77, 54, 40, 59, 77, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,Nordeste Fomento Mercantil LTDA,ChIJs6mfER0AswcRNf9voKI2QKQ,-5.834062699999999,-35.21375099999999,bank,,,,,,,
20,Bradesco,ChIJHSRA1kSqswcRkeWNG80WmTI,-5.7578323,-35.24722250000001,bank,,,,,,,
21,UP Brasil - Natal,ChIJs1jFvfH_sgcRc8NGj8wtpac,-5.833174199999998,-35.2142987,bank,,,,,,,
22,Próspera,ChIJZzjMVqiqswcRf-QUeerJU0o,-5.797473,-35.21710079999999,bank,,,,,,,
23,Loja Bem Promotora Natal,ChIJ6zKdlAwAswcR4rQJ5GDaUgQ,-5.784613999999999,-35.205264,bank,,,,,,,
24,Banco do Brasil S/A,ChIJQ7pBkHMAswcR0hjpbxhTZek,-5.793623200000001,-35.2059974,bank,,,,,,,
25,Bank of Brazil,ChIJWY7j54H_sgcRtPb71E0sXsc,-5.853566499999999,-35.211670500000004,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 93, 84, 67, 81, 91, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 69, 52, 50, 66, 63, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 64, 62, 60, 69, 61, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 79, 65, 58, 77, 78, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 86, 84, 88, 100, 96, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,Bradesco Dia&Noite,ChIJG47I2jBSsgcRrbYdBZqtz08,-5.858889299999999,-35.3469424,bank,,,,,,,
